"Country","Region","Year","Population","LifeExpectancy","HealthExpenditure"
"Liberia","Sub-Saharan Africa",2010,3994122,56.14758537,40.63750055
"Libya","Middle East & North Africa",2010,6355112,74.75312195,388.791449
"Lithuania","Europe & Central Asia",2010,3286820,73.26829268,782.0235752
"Luxembourg","Europe & Central Asia",2010,506953,80.63170732,8193.487867
"Macedonia, FYR","Europe & Central Asia",2010,2060563,74.61885366,299.5020073
"Madagascar","Sub-Saharan Africa",2010,20713819,66.46707317,15.08365292
"Malawi","Sub-Saharan Africa",2010,14900841,53.46263415,28.46863766
"Malaysia","East Asia & Pacific",2010,28401017,74.02456098,367.9636542
"Maldives","South Asia",2010,315885,76.55141463,408.8470824
"Mali","Sub-Saharan Africa",2010,15369809,50.95482927,39.48080017
"Mauritania","Sub-Saharan Africa",2010,3459773,58.21695122,58.90978473
"Mauritius","Sub-Saharan Africa",2010,1280924,72.96731707,464.7699997
"Mexico","Latin America & Caribbean",2010,113423047,76.68378049,603.356072
"Micronesia, Fed. Sts.","East Asia & Pacific",2010,111064,68.76482927,365.4735611
"Moldova","Europe & Central Asia",2010,3562062,68.90370732,190.425316
"Mongolia","East Asia & Pacific",2010,2756001,68.19497561,123.9652046
"Montenegro","Europe & Central Asia",2010,631490,74.31109756,583.8900435
"Morocco","Middle East & North Africa",2010,31951412,71.86463415,166.3969849
"Mozambique","Sub-Saharan Africa",2010,23390765,49.69692683,24.70825629
"Myanmar","East Asia & Pacific",2010,47963012,64.66209756,17.33110903
"Namibia","Sub-Saharan Africa",2010,2283289,62.07009756,269.431485
"Nepal","South Asia",2010,29959364,68.39482927,27.55314463
"Netherlands","Europe & Central Asia",2010,16615394,80.70243902,5683.063435
"New Zealand","East Asia & Pacific",2010,4367800,80.70243902,3266.817968
"Nicaragua","Latin America & Caribbean",2010,5788163,73.72921951,113.0850586
"Niger","Sub-Saharan Africa",2010,15511953,54.26563415,17.40364302
"Nigeria","Sub-Saharan Africa",2010,158423182,51.41002439,67.11868541
"Norway","Europe & Central Asia",2010,4889252,80.99756098,8038.694586
"Oman","Middle East & North Africa",2010,2782435,73.12460976,568.3341593
"Pakistan","South Asia",2010,173593383,65.19885366,28.03580786
"Panama","Latin America & Caribbean",2010,3516820,75.9742439,662.6548885
"Papua New Guinea","East Asia & Pacific",2010,6858266,62.44060976,56.73072022
"Paraguay","Latin America & Caribbean",2010,6454548,72.277,271.6098444
"Peru","Latin America & Caribbean",2010,29076512,73.76497561,258.1617078
"Philippines","East Asia & Pacific",2010,93260798,68.48431707,88.74407102
"Poland","Europe & Central Asia",2010,38183683,76.24634146,851.0791379
"Portugal","Europe & Central Asia",2010,10637346,79.02682927,2305.872722
"Qatar","Middle East & North Africa",2010,1758793,78.09758537,1488.595797
"Romania","Europe & Central Asia",2010,21438001,73.45853659,457.2307647
"Russian Federation","Europe & Central Asia",2010,142389000,68.80487805,670.3640455
"Rwanda","Sub-Saharan Africa",2010,10624005,55.05712195,55.22403979
"Samoa","East Asia & Pacific",2010,183081,72.30639024,204.0746573
"Sao Tome and Principe","Sub-Saharan Africa",2010,165397,64.34929268,94.13270702
"Saudi Arabia","Middle East & North Africa",2010,27448086,73.85041463,658.9520417
"Senegal","Sub-Saharan Africa",2010,12433728,58.95407317,59.5772784
"Sierra Leone","Sub-Saharan Africa",2010,5867536,47.40219512,67.73178528
"Singapore","East Asia & Pacific",2010,5076700,81.54146341,2004.787653
